"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Localização (Latitude)";"Localização (Longitude)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras"
"Estabelecimento Hoteleiro - Hotel";"924";"Hotel Turismo Trindade Coelho";"Hotel Turismo Trindade Coelho";"***";"Classificado em auditoria";"34";"17";"1";"Largo Trindade Coelho";"5200-213";"Mogadouro";"Mogadouro";"Bragança";"41.387677";"-6.503734";"279340010";"279340011";"contacto@hoteltrindadecoelho.com";"www.hoteltrinadadecoelho.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"HOTEL TURISMO TRINDADE COELHO LDA";
"Estabelecimento Hoteleiro - Hotel";"3460";"Hotel Turoásis";"Turoasis";"***";"Classificado em auditoria";"48";"24";"1";"Quinta Manuel Alves, Lugar do Lombo";"8900-037";"Vila Nova de Cacela";"Vila Real de Santo António";"Faro";"37.169563";"-7.511333";"281951660";"281951644";"reservas@turoasis.com";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"TURMUGE II - EXPLORA??O TURISTICA E HOTELEIRA LDA";
"Estabelecimento Hoteleiro - Hotel";"1058";"Hotel Ulveira";"Hotel Albergaria Ulveira";"***";"Classificado em auditoria";"38";"19";"0";"Largo da Feira, 17";"3680-076";"Oliveira de Frades";"Oliveira de Frades";"Viseu";"40.729187";"-8.171708";"232760070";"232760079";"geral@hotelulveira.pt";"www.hotelulveira.com";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Dão-Lafões";;"Não";"---";"2";"Sim";"80";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Contrastes à Mesa, Lda";
"Estabelecimento Hoteleiro - Hotel";"1206";"hotel umu";"hotel umu";"***";"Classificado em auditoria";"117";"67";"3";"Av. Bernardo Santareno, 38";"2005-177";"Santarém";"Santarém";"Santarém";"39.241502";"-8.693803";"243377240";"243370850";"reservas@umu.pt";"www.umu.pt";"TURISMO DE LISBOA E VALE DO TEJO";"Alentejo";"Lezíria do Tejo";;"Não";"---";"1";"Sim";"230";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Good Sleep Lda.";
"Estabelecimento Hoteleiro - Hotel";"3727";"Hotel Universal";"Hotel Universal";"**";"Classificado em auditoria";"81";"44";"1";"Avenida dos Aliados nº 38";"4000-064";"Porto";"Porto";"Porto";"41.147255";"-8.610902";"222006758";"222001055";"geral@hoteluniversal.org";"www.hoteluniversal.org";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Joaquim Macedo e Companhia Lda.";
"Estabelecimento Hoteleiro - Hotel";"912";"HOTEL UNIVERSAL";"Hotel Universal";"***";"Classificado em auditoria";"100";"50";"1";"Avenida Manuel Francisco da Costa";"4845-067";"Gerês";"Terras de Bouro";"Braga";"41.727159";"-8.162498";"253390220";"253391102";"infohoteis@ehgeres.com";"www.ehgeres.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Cávado";;"Não";"---";"4";"Sim";"120";"Não";"Não";"Não";"Sim";"Não";"Não";"Não";;;"EMPRESA HOTELEIRA GERES LDA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"1357";"Hotel Urgeiriça";"Hotel Urgeiriça";"****";"Classificado em auditoria";"189";"90";"1";"Canas de Senhorim";"3525-301";"Canas de Senhorim";"Nelas";"Viseu";"40.512005";"-7.889707";"232671267";"232671328";"direccao@hotelurgeirica.pt";"www.hotelurgeirica.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Dão-Lafões";;"Não";"---";"1";"Sim";"0";"Não";"Não";"Sim";"Sim";"Não";"Não";"Não";;;"HOTEIS INTERNACIONAIS LDA.";
"Estabelecimento Hoteleiro - Hotel";"703";"HOTEL VAL FLORES";"HOTEL VAL FLORES";"*";"Classificado em auditoria";"61";"31";"0";"AV. Bombeiros Voluntários";"4930-593";"Valença";"Valença";"Viana do Castelo";"42.026471";"-8.643408";"251824106";"251824129";"hotelvalflores@gmail.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"LOUREIRO &amp; TELES LDA";"IAPMEI, "
"Estabelecimento Hoteleiro - Hotel";"84";"Hotel Valbom";"Hotel Valbom";"**";"Classificado em auditoria";"80";"40";"0";"Av. Valbom, 14";"2750-508";"Cascais";"Cascais";"Lisboa";"38.699334";"-9.419672";"214865801";"214865805";"info@albergariavalbom.com";;"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";"2013-03-01-&gt;2013-03-15 Ano em causa:2013, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ISTRA - INDUSTRIA E COMERCIO DE HOTELARIA LDA";
"Estabelecimento Hoteleiro - Hotel";"1164";"Hotel Vale d'El Rei - Suite &amp; Nature Hotel";"Tandavantur-Gest. Empreend. Turisticos e Imob.,Lda";"****";"Classificado em auditoria";"108";"50";"2";"Quinta Vale d'El Rei";"8400-421";"Lagoa";"Lagoa";"Faro";"37.114823";"-8.421271";"282380120";"282380129";"admin@valedelrei.com";"www.valedelrei.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Sim";"0";"Sim";"Sim";"Não";"Sim";"Sim";"Não";"Não";;"Certificado VERDORECA 2010";"Details - Hotels &amp; Resorts S.A.";
"Estabelecimento Hoteleiro - Hotel";"1615";"Hotel Vale do Côa";;"**";"Classificado em auditoria";"64";"32";"1";"Avenida Cidade Nova, 1 - A";"5150-566";"Vila Nova de Foz Côa";"Vila Nova de Foz Côa";"Guarda";"40.993972";"-7.329420";"279760010";"279760019";"informacoes@hotelvaledocoa.net";"hotelvaledocoa.net";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"FILIPE &amp; FILHO LDA";
"Estabelecimento Hoteleiro - Hotel";"3171";"Hotel Vale do Navio";;"****";"Classificado em auditoria";"148";"78";"0";"Rua do Navio nº 47";"9545-140";"Capelas";"Ponta Delgada";"Ilha de São Miguel";"37.835819";"-25.690155";"296 980 090";"296 980 092";"gerencia@acorsonho.com";"www.hotelvaledonavio.com";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Sim";"---";"1";"Sim";"40";"Sim";"Sim";"Sim";"Não";"Sim";"Sim";"Não";;;"Açorsonho Hotéis";"Outra, "
"Estabelecimento Hoteleiro - Hotel";"1465";"Hotel Vale do Zêzere";"Vale do Zêzere";"**";"Classificado em auditoria";"20";"10";"1";"Quinta de Santo António";"6260-191";"Manteigas";"Manteigas";"Guarda";"40.466460";"-7.735018";"275982002";;"hotelvaledozezere@gmail.com";"www.hotelvaledozezere.pt.vu";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Filipe Sobral Lopes";
"Estabelecimento Hoteleiro - Hotel";"5570";"Hotel Valença do Minho";;"***";"Classificado em auditoria";"72";"36";"0";"Av. Miguel Dantas";"4930-678";"Valença";"Valença";"Viana do Castelo";;;"251824392";"251824321";"geral@hotelvalencadominho.com";"www.hotelvalencadominho.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"1";"Sim";"50";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"Fantastica Iniciativa, Lda";
"Estabelecimento Hoteleiro - Hotel";"660";"Hotel Vanguarda";"Hotel Vanguarda";"***";"Classificado em auditoria";"164";"82";"1";"Avenida Monsenhor Mendes do Carmo";"6300-586";"Guarda";"Guarda";"Guarda";"40.542472";"-7.267735";"271208390";"271208398";"geral@naturaimbhotels.com";"www.naturaimbhotels.com";"TURISMO SERRA DA ESTRELA";"Centro (P)";"Beira Interior Norte";;"Não";"---";"2";"Sim";"200";"Não";"Não";"Não";"Não";"Não";"Não";"Não";"ISO9001 (Em implementação)";"ECO-HOTEL + ISO 14001";"HVG - HOTELARIA E TURISMO LDA";
"Estabelecimento Hoteleiro - Hotel";"7";"Hotel Varandas do Atlântico";"Hotel Varandas do Atlântico";"***";"Classificado em auditoria";"54";"30";"1";"Rua da Alfandega 19";"9760-411";"Praia da Vitória";"Praia da Vitória";"Ilha Terceira";"38.731280";"-27.059476";"295540050";;"reservas.varandas@mail.telepac.pt";"www.hotelvarandas.com";"Direcção Regional do Turismo - Secretaria Regional Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Sim";"40";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Marsuga Empreendimentos Turisticos Lda";
"Estabelecimento Hoteleiro - Hotel";"5541";"HOTEL VARANDAZUL";;"**";"Classificado em auditoria";"34";"17";"0";"Rua Hermenegildo Capelo, 3";"2950-234";"Palmela";"Palmela";"Setúbal";;;"212331451";;"info@varandazul.pt";;"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Península de Setúbal";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";"higiene e segurança";;"HOTEL VARANDAZUL, LDA";
"Estabelecimento Hoteleiro - Hotel";"4255";"Hotel Varchotel";"varchotel";"**";"Classificado em auditoria";"62";"31";"0";"Traço de Gravatos, n.º 1";"7350-422";"Elvas";"Elvas";"Portalegre";"38.880279";"-7.163664";"268621621";"268621596";"varchotel@hotmail.com";"www.varchotel.com";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alto Alentejo";;"Não";"---";"0";"Sim";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"VARCHOTEL EMPREENDIMENTOS HOTELEIROS LDA";
"Estabelecimento Hoteleiro - Hotel";"1571";"Hotel Vasco da Gama";"Hotel Vasco da Gama";"***";"Classificado em auditoria";"390";"186";"1";"AV INF D HENRIQUE";"8900-412";"Monte Gordo";"Vila Real de Santo António";"Faro";"37.179192";"-7.451193";"281510900";"281510901";"dir@vascodagamahotel.com";;"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"0";"Sim";"45";"Não";"Sim";"Não";"Sim";"Sim";"Não";"Sim";;;"SOC TURISTICA VASCO GAMA SA";
"Estabelecimento Hoteleiro - Hotel";"749";"Hotel Velamar";"Hotel Velamar";"***";"Classificado em auditoria";"150";"75";"1";"Torre da Medronheira";"8200-635";"Albufeira";"Albufeira";"Faro";"37.093954";"-8.198349";"289590100";"289590109";"gm@detailshotels.com";"www.velamar.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Não";"---";"2";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Details - Hotels &amp; Resorts, SA ";
"Estabelecimento Hoteleiro - Hotel";"3322";"Hotel Veleiro";;"**";"Classificado em auditoria";"28";"14";"0";"Rua Sacadura Cabral, nº19";"7520-239";"Sines";"Sines";"Setúbal";"37.951340";"-8.875896";"269634751";"269634803";"veleiro@iol.pt";"www.residencialveleiro.com";"TURISMO DO ALENTEJO LITORAL";"Alentejo";"Alentejo Litoral";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"CERIMONIAL - ACTIVIDADES HOTELEIRAS LDA";
"Estabelecimento Hoteleiro - Hotel";"3610";"Hotel Vera Cruz";"Vera Cruz hotel";"**";"Classificado em auditoria";"60";"35";"0";"Rua Ramalho Ortigão,14";"4000-407";"Porto";"Porto";"Porto";"41.149285";"-8.611599";"22-3323396";"22-3323421";"resveracruz@gmail.com";"www.veracruzhotel.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"M.T.OSORIO,lda";
"Estabelecimento Hoteleiro - Hotel";"591";"Hotel Verde Pinho";"Hotel Verde Pinho";"**";"Classificado em auditoria";"52";"30";"1";"Rua das Saudades nº15, São Pedro de Moel, Marinha Grande";"2430-492";"Marinha Grande";"Marinha Grande";"Leiria";"39.736408";"-8.927057";"244599233";"244599267";"frederico.eme@netcabo.pt";;"TURISMO DE LEIRIA-FÁTIMA";"Centro (P)";"Pinhal Litoral";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SERGIO JOAQUIM DE SOUSA";
"Estabelecimento Hoteleiro - Hotel";"689";"hotel verdeal";"hotel verdeal";"***";"Classificado em auditoria";"68";"34";"1";"quinta do verdeal";"3620-000";"Moimenta da Beira";"Moimenta da Beira";"Viseu";"40.967976";"-7.633113";"254584061";"254584063";"hotelverdeal@gmail.com";"hotel-verdeal.com";"TURISMO DO DOURO";"Norte";"Douro";;"Não";"---";"1";"Sim";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Não";;;"dias &amp; filhos, emprendimentos turisticos, lda";
"Estabelecimento Hoteleiro - Hotel";"342";"HOTEL VIA NORTE";"VIA NORTE";"***";"Classificado em auditoria";"99";"50";"0";"ESTRADA DA VIANORTE, KM 4";"4465-764";"Leça do Balio";"Matosinhos";"Porto";"41.217904";"-8.626757";"229448294/5";"229448322";"estalagem@vianorte.pt";"www.estalagemvianorte.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Sim";"---";"2";"Sim";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"CASIUS - Sociedade Imobiliária, S.A.";
"Estabelecimento Hoteleiro - Hotel";"1380";"HOTEL VIANA SOL";"DURMAEMVIANAHOTEIS, LDA.";"**";"Classificado em auditoria";"67";"63";"0";"Largo Vasco da Gama, 38-41";"4900-322";"Viana do Castelo";"Viana do Castelo";"Viana do Castelo";"41.691189";"-8.830283";"258828995";;"jshotelvianasol@gmail.com";"www.hotelvianasol.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";"2014-10-01-&gt;2015-07-31 Ano em causa:2014, ";"Não";"---";"1";"Sim";"165";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"DURMAEMVIANAHOTEIS, LDA.";
"Estabelecimento Hoteleiro - Hotel";"1533";"Hotel Vice-Rei";;"**";"Classificado em auditoria";"110";"55";"0";"Rua Júlio Dinis, 779";"4050-326";"Porto";"Porto";"Porto";"41.155662";"-8.627514";"225430120";"225423128";"geral@hotelvicerei.com";"www.hotelvicerei.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Transaérea - Empresa de hotelaria turismo e viage";
"Estabelecimento Hoteleiro - Hotel";"3571";"Hotel Vidago Palace";"Vidago Palace";"*****";"Classificado em auditoria";"140";"70";"1";"Parque de Vidago, Apartado 16";"5425-307";"Vidago";"Chaves";"Vila Real";"41.632319";"-7.576188";"276990900";"276990912";"reservations@vidagopalace.com";"www.vidagopalace.com";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Alto Trás-os-Montes";;"Sim";"Nacional";"4";"Sim";"246";"Sim";"Sim";"Sim";"Sim";"Sim";"Sim";"Não";;;"VMPS - AGUAS E TURISMO S A";"AICEP, "
"Estabelecimento Hoteleiro - Hotel";"4383";"Hotel Vila Bela";"Hotel Vila Bela";"**";"Classificado em auditoria";"24";"12";"1";"Rua da Praia, nº23/25 Sitio das Casas Próximas";"9225-050";"Porto da Cruz";"Machico";"Ilha da Madeira";"32.717651";"-16.767759";"291563381";;"hotelvilabela@gmail.com";"www.vila-bela.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Destino Excitante, Lda";
"Estabelecimento Hoteleiro - Hotel";"3865";"HOTEL VILA D' ARTES";;"*";"Classificado em auditoria";"25";"13";"1";"LUGAR DA TEIXUGUEIRA Nº 7";"4920-062";"Gondarém";"Vila Nova de Cerveira";"Viana do Castelo";"41.942845";"-8.740802";"251794462";"251794462";"hotelviladartes@hotmaill.com";;"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Minho-Lima";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"DOMINGOS CARVALHO GONÇALVES PEREIRA";
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"4424";"Hotel Vila D'Óbidos";"Hotel Vila D'Óbidos";"****";"Classificado em auditoria";"80";"40";"1";"Estrada Nossa Senhora da Luz";"2510-192";"Óbidos";"Óbidos";"Leiria";"39.360421";"-9.158201";"262003100";"262003101";"geral@hotelviladobidos.pt";"www.hotelviladobidos.pt";"TURISMO DO OESTE";"Centro (P)";"Oeste";;"Não";"---";"1";"Sim";"60";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"DF TUR LDA";"Turismo de Portugal, I.P., Programa Operacional Regional do Centro, "
"Estabelecimento Hoteleiro - Hotel";"1047";"Hotel Vila Galé Albacora";"Vila Galé";"****";"Classificado em auditoria";"322";"161";"1";"Quatro Águas, Antigo Arraial Ferreira Neto";"8800-361";"Tavira";"Tavira";"Faro";"37.178210";"-7.654811";"281380800";"281380850";"albacora@vilagale.pt";"www.vilagale.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2011-11-01-&gt;2012-02-28 Ano em causa:2011, 2012-11-01-&gt;2013-02-28 Ano em causa:2012, 2013-11-02-&gt;2014-02-28 Ano em causa:2013, 2014-11-16-&gt;2015-02-19 Ano em causa:2014, 2015-11-15-&gt;2016-02-04 Ano em causa:2015, ";"Sim";"Público";"3";"Sim";"350";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;"Eco-Hotel";"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"880";"Hotel Vila Galé Coimbra";"Vila Galé";"****";"Classificado em auditoria";"458";"229";"4";"Rua Abel Dias Urbano, 20";"3000-001";"Coimbra";"Coimbra";"Coimbra";"40.214818";"-8.436849";"239240000";"239240050";"coimbra@vilagale.pt";"www.vilagale.pt";"TURISMO DO CENTRO DE PORTUGAL";"Centro (P)";"Baixo Mondego";;"Sim";"---";"3";"Sim";"950";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"Vila Galé Coimbra";"Programa Operacional Factores de Competitividade, "
"Estabelecimento Hoteleiro - Hotel";"4156";"Hotel Vila Galé Collection Palácio dos Arcos";"Vila Galé Collection Hotels";"*****";"Classificado em auditoria";"152";"76";"1";"Largo Conde das Alcáçovas, 3";"2770-031";"Paço de Arcos";"Oeiras";"Lisboa";"38.695889";"-9.289869";"210493200";"210493250";"palacio@vilagale.com";"www.vilagale.pt";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Sim";"---";"3";"Sim";"200";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";
"Estabelecimento Hoteleiro - Hotel";"5515";"Hotel Vila Galé Douro";"Vila Galé";"****";"Classificado em auditoria";"76";"38";"1";"Lugar de Varais";"5100-426";"Cambres";"Lamego";"Viseu";;;"254780700";"254780730";"douro@vilagale.com";"www.vilagale.com";"TURISMO DO DOURO";"Norte";"Douro";"2016-01-09-&gt;2016-02-04 Ano em causa:2016, ";"Sim";"---";"3";"Sim";"450";"Sim";"Não";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";
"Estabelecimento Hoteleiro - Hotel";"555";"Hotel Vila Galé Ericeira";"Vila Galé";"****";"Classificado em auditoria";"396";"202";"1";"Praça dos Navegantes, 1";"2655-320";"Ericeira";"Mafra";"Lisboa";"38.961329";"-9.416444";"261869900";"261869950";"ericeira@vilagale.pt";"www.vilagale.pt";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"2";"Sim";"770";"Sim";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"Vila Galé - Sociedade de Empreendimentos Turísticos, S.A.";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"879";"Hotel Vila Galé Estoril";"Vila Galé";"****";"Classificado em auditoria";"252";"126";"1";"Avenida Marginal";"2765-259";"Estoril";"Cascais";"Lisboa";"38.700770";"-9.386958";"214648400";"214648432";"estoril@vilagale.pt";"www.vilagale.pt";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Não";"---";"2";"Sim";"280";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"5439";"Hotel Vila Galé Évora";"Vila Galé";"****";"Classificado em auditoria";"370";"185";"2";"Avenida Túlio Espanca";"7005-840";"Évora";"Évora";"Évora";;;"266758100";"266758150";"evora@vilagale.com";"www.vilagale.com";"TURISMO DO ALENTEJO, E.R.T.";"Alentejo";"Alentejo Central";;"Sim";"---";"3";"Sim";"700";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE EVORA - INVESTIMENTOS TURISTICOS E IMOB";"Programa Operacional Regional do Alentejo, Programa Operacional Factores de Competitividade, "
"Estabelecimento Hoteleiro - Hotel";"552";"Hotel Vila Galé Lagos";"Vila Galé";"****";"Classificado em auditoria";"494";"247";"2";"Meia Praia";"8600-315";"Lagos";"Lagos";"Faro";"37.114991";"-8.655881";"282771400";"282771450";"lagos@vilagale.pt";"www.vilagale.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";;"Sim";"---";"4";"Sim";"700";"Sim";"Sim";"Sim";"Sim";"Sim";"Não";"Sim";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"878";"Hotel Vila Galé Marina";"Vila Galé";"****";"Classificado em auditoria";"498";"243";"1";"Avenida da Marina, Lote H-2";"8125-401";"Quarteira";"Loulé";"Faro";"37.077721";"-8.116464";"289300000";"289300050";"marina@vilagale.com";"www.vilagale.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2012-12-01-&gt;2013-01-31 Ano em causa:2012, 2013-12-01-&gt;2014-01-31 Ano em causa:2013, 2014-12-15-&gt;2015-01-15 Ano em causa:2014, 2015-12-13-&gt;2016-01-14 Ano em causa:2015, ";"Sim";"---";"2";"Sim";"173";"Não";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"1007";"Hotel Vila Galé Náutico";"Vila Galé";"****";"Classificado em auditoria";"466";"233";"3";"Vale do Olival";"8365-150";"Armação de Pêra";"Silves";"Faro";"37.107134";"-8.373168";"282310000";"282310060";"nautico@vilagale.com";"www.vilagale.com";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2011-11-01-&gt;2012-02-28 Ano em causa:2011, 2012-11-01-&gt;2013-02-28 Ano em causa:2012, 2013-11-01-&gt;2014-03-31 Ano em causa:2013, 2014-11-01-&gt;2015-03-10 Ano em causa:2014, 2015-11-01-&gt;2016-03-07 Ano em causa:2015, ";"Sim";"---";"2";"Não";"140";"Não";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE - SOCIEDADE DE EMPREENDIMENTOS TURISTIC";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"553";"Hotel Vila Galé Ópera";"Vila Galé";"****";"Classificado em auditoria";"518";"259";"7";"Travessa do Conde da Ponte";"1300-141";"Lisboa";"Lisboa";"Lisboa";"38.700530";"-9.180843";"213605400";"213605450";"opera@vilagale.pt";"www.vilagale.pt";"TURISMO DE LISBOA E VALE DO TEJO";"Lisboa";"Grande Lisboa";;"Sim";"---";"2";"Sim";"325";"Sim";"Não";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"876";"Hotel Vila Galé Porto";"Vila Galé";"****";"Classificado em auditoria";"571";"292";"1";"Avenida Fernão de Magalhães, 7";"4300-190";"Porto";"Porto";"Porto";"41.150500";"-8.598202";"225191800";"225191850";"porto@vilagale.pt";"www.vilagale.pt";"TURISMO DO PORTO E NORTE DE PORTUGAL, E.R.";"Norte";"Grande Porto";;"Sim";"---";"2";"Sim";"1000";"Sim";"Não";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
"Estabelecimento Hoteleiro - Hotel";"556";"Hotel Vila Galé Praia";"Vila Galé";"****";"Classificado em auditoria";"80";"40";"1";"Praia da Galé";"8200-200";"Albufeira";"Albufeira";"Faro";"37.080555";"-8.316111";"289590180";"289590188";"praia@vilagale.pt";"www.vilagale.pt";"ENTIDADE REGIONAL DE TURISMO DO ALGARVE";"Algarve";"Algarve";"2012-11-01-&gt;2013-02-28 Ano em causa:2012, 2013-11-18-&gt;2014-02-28 Ano em causa:2013, 2014-12-01-&gt;2015-01-30 Ano em causa:2014, 2015-11-25-&gt;2016-01-25 Ano em causa:2015, ";"Não";"---";"2";"Não";"0";"Sim";"Sim";"Não";"Sim";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";
"Estabelecimento Hoteleiro - Hotel";"1012";"Hotel Vila Galé Santa Cruz";"Vila Galé";"****";"Classificado em auditoria";"524";"262";"4";"Rua de São Fernando, 5";"9100-173";"Santa Cruz";"Santa Cruz";"Ilha da Madeira";"-22.878729";"-43.704124";"291529000";"291529050";"madeira@vilagale.com";"www. vilagale.com";"Secretaria Regional do Turismo e Transportes - RA Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Sim";"---";"5";"Sim";"900";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"VILA GALE SOC EMPREENDIMENTOS TURISTICOS SA";"Turismo de Portugal, I.P., "
